ID,length
484,1372
485,225
486,247
487,773
488,301
489,190
490,1519
491,473
492,759
493,1900
494,807
495,884
496,2525
497,2247
498,1366
499,2259
500,863
501,901
502,1341
503,1163
504,280
505,1020
506,2151
507,880
508,1054
509,1519
510,368
511,502
512,471
513,390
514,240
515,234
516,904
517,1928
518,923
519,635
520,1084
521,769
522,998
523,424
524,386
525,2156
526,245
527,181
528,180
529,1145
530,1029
531,1452
532,1218
533,226
534,591
535,1067
536,416
537,2204
538,254
539,1612
540,949
541,383
542,805
543,787
544,627
545,564
546,218
547,134
548,300
549,1740
550,1865
551,1946
552,462
553,1085
554,1348
555,407
556,901
557,1202
558,596
559,920
560,124
561,1102
562,1378
563,2021
564,574
565,2673
566,1469
567,440
568,1169
569,946
570,622
571,123
572,941
573,319
574,2180
575,1049
576,1079
577,1911
578,1321
579,560
580,1597
581,382
582,4077
583,1760
584,799
585,2736
586,212
587,936
588,642
589,623
590,238
591,1848
592,945
593,178
594,311
595,994
596,20
597,541
598,929
599,777
600,3861
601,973
602,1571
603,1058
604,766
605,381
606,698
607,1048
608,474
609,3554
610,291
611,409
612,1197
613,1741
614,985
615,857
616,1015
617,1451
618,1697
619,586
620,796
621,1871
622,254
623,642
624,938
625,1030
626,546
627,8
628,763
629,463
630,469
631,538
632,536
633,688
634,390
635,714
636,1883
637,458
638,350
639,1323
640,278
641,597
642,325
643,2189
644,1339
645,1069
646,145
647,1302
648,221
649,118
650,666
651,727
652,2642
653,334
654,857
655,1876
656,372
657,864
658,1169
659,185
660,743
661,178
662,1038
663,991
664,1722
665,2384
666,243
667,1137
668,1361
669,43
670,968
671,443
672,869
673,368
674,189
675,356
676,253
677,652
678,1475
679,1186
680,1386
681,1019
682,310
683,1279
684,544
685,73
686,1131
687,653
688,1194
689,1223
690,1105
691,343
692,790
693,1506
694,340
695,876
696,322
697,263
698,607
699,347
700,340
701,347
702,1228
703,1464
704,871
705,159
706,409
707,910
708,410
709,652
710,602
711,189
712,219
713,1234
714,1218
715,641
716,1334
717,498
718,635
719,147
720,575
721,701
722,1410
723,1658
724,1062
725,43
726,221
727,1182
728,1616
729,1572
730,1545
731,394
732,2644
733,1004
734,670
735,993
736,1632
737,722
738,1448
739,1337
740,669
741,92
742,612
743,780
744,369
745,640
746,707
747,2185
